INTL.35-12-BLR-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BLR-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.181
INTL.117-12-BLR-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BLR-BKWH.A,                    Solar (billion kWh),0.181
INTL.37-12-BLR-BKWH.A,                Wind (billion kWh),0.178
INTL.38-12-BLR-BKWH.A,                Biomass and waste (billion kWh),0.336
INTL.82-12-BLR-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Belgium,
INTL.2-12-BEL-BKWH.A,    Generation (billion kWh),88.754
INTL.29-12-BEL-BKWH.A,        Renewables (billion kWh),20.624
INTL.33-12-BEL-BKWH.A,            Hydroelectricity (billion kWh),0.108
INTL.34-12-BEL-BKWH.A,            Non-hydroelectric renewables (billion kWh),20.516
INTL.35-12-BEL-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BEL-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",4.258
INTL.117-12-BEL-BKWH.A,                    Tide and wave (billion kWh),0.011
INTL.116-12-BEL-BKWH.A,                    Solar (billion kWh),4.247
INTL.37-12-BEL-BKWH.A,                Wind (billion kWh),9.726
INTL.38-12-BEL-BKWH.A,                Biomass and waste (billion kWh),6.532
INTL.82-12-BEL-BKWH.A,        Hydroelectric pumped storage (billion kWh),-0.283
,Belize,
INTL.2-12-BLZ-BKWH.A,    Generation (billion kWh),0.832605
INTL.29-12-BLZ-BKWH.A,        Renewables (billion kWh),0.432605
INTL.33-12-BLZ-BKWH.A,            Hydroelectricity (billion kWh),0.29502
INTL.34-12-BLZ-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.137585
INTL.35-12-BLZ-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BLZ-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.001062
INTL.117-12-BLZ-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BLZ-BKWH.A,                    Solar (billion kWh),0.001062
INTL.37-12-BLZ-BKWH.A,                Wind (billion kWh),0
INTL.38-12-BLZ-BKWH.A,                Biomass and waste (billion kWh),0.136523
INTL.82-12-BLZ-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Benin,
INTL.2-12-BEN-BKWH.A,    Generation (billion kWh),0.2018
INTL.29-12-BEN-BKWH.A,        Renewables (billion kWh),0.00816
INTL.33-12-BEN-BKWH.A,            Hydroelectricity (billion kWh),0.00006
INTL.34-12-BEN-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.0081
INTL.35-12-BEN-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BEN-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.008
INTL.117-12-BEN-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BEN-BKWH.A,                    Solar (billion kWh),0.008
INTL.37-12-BEN-BKWH.A,                Wind (billion kWh),0
INTL.38-12-BEN-BKWH.A,                Biomass and waste (billion kWh),0.0001
INTL.82-12-BEN-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Bermuda,
INTL.2-12-BMU-BKWH.A,    Generation (billion kWh),0.574434
INTL.29-12-BMU-BKWH.A,        Renewables (billion kWh),0
INTL.33-12-BMU-BKWH.A,            Hydroelectricity (billion kWh),0
INTL.34-12-BMU-BKWH.A,            Non-hydroelectric renewables (billion kWh),0
INTL.35-12-BMU-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BMU-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0
INTL.117-12-BMU-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BMU-BKWH.A,                    Solar (billion kWh),0
INTL.37-12-BMU-BKWH.A,                Wind (billion kWh),0
INTL.38-12-BMU-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-BMU-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Bhutan,
INTL.2-12-BTN-BKWH.A,    Generation (billion kWh),8.95204
INTL.29-12-BTN-BKWH.A,        Renewables (billion kWh),8.952
INTL.33-12-BTN-BKWH.A,            Hydroelectricity (billion kWh),8.95
INTL.34-12-BTN-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.002
INTL.35-12-BTN-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BTN-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.001
INTL.117-12-BTN-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BTN-BKWH.A,                    Solar (billion kWh),0.001
INTL.37-12-BTN-BKWH.A,                Wind (billion kWh),0.001
INTL.38-12-BTN-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-BTN-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Bolivia,
INTL.2-12-BOL-BKWH.A,    Generation (billion kWh),9.98369
INTL.29-12-BOL-BKWH.A,        Renewables (billion kWh),3.72047
INTL.33-12-BOL-BKWH.A,            Hydroelectricity (billion kWh),3.22047
INTL.34-12-BOL-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.5
INTL.35-12-BOL-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BOL-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.188
INTL.117-12-BOL-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BOL-BKWH.A,                    Solar (billion kWh),0.188
INTL.37-12-BOL-BKWH.A,                Wind (billion kWh),0.07
INTL.38-12-BOL-BKWH.A,                Biomass and waste (billion kWh),0.242
INTL.82-12-BOL-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Bosnia and Herzegovina,
INTL.2-12-BIH-BKWH.A,    Generation (billion kWh),16.65445
INTL.29-12-BIH-BKWH.A,        Renewables (billion kWh),6.31219
INTL.33-12-BIH-BKWH.A,            Hydroelectricity (billion kWh),6.02019
INTL.34-12-BIH-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.292
INTL.35-12-BIH-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BIH-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.03
INTL.117-12-BIH-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BIH-BKWH.A,                    Solar (billion kWh),0.03
INTL.37-12-BIH-BKWH.A,                Wind (billion kWh),0.254
INTL.38-12-BIH-BKWH.A,                Biomass and waste (billion kWh),0.008
INTL.82-12-BIH-BKWH.A,        Hydroelectric pumped storage (billion kWh),-0.025
,Botswana,
INTL.2-12-BWA-BKWH.A,    Generation (billion kWh),3.0459
INTL.29-12-BWA-BKWH.A,        Renewables (billion kWh),0.005
INTL.33-12-BWA-BKWH.A,            Hydroelectricity (billion kWh),0
INTL.34-12-BWA-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.005
INTL.35-12-BWA-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BWA-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.005
INTL.117-12-BWA-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BWA-BKWH.A,                    Solar (billion kWh),0.005
INTL.37-12-BWA-BKWH.A,                Wind (billion kWh),0
INTL.38-12-BWA-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-BWA-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Brazil,
INTL.2-12-BRA-BKWH.A,    Generation (billion kWh),614.54178
INTL.29-12-BRA-BKWH.A,        Renewables (billion kWh),510.38878
INTL.33-12-BRA-BKWH.A,            Hydroelectricity (billion kWh),393.898
INTL.34-12-BRA-BKWH.A,            Non-hydroelectric renewables (billion kWh),116.49078
INTL.35-12-BRA-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BRA-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",6.655
INTL.117-12-BRA-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BRA-BKWH.A,                    Solar (billion kWh),6.655
INTL.37-12-BRA-BKWH.A,                Wind (billion kWh),55.986
INTL.38-12-BRA-BKWH.A,                Biomass and waste (billion kWh),53.84978
INTL.82-12-BRA-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,British Virgin Islands,
INTL.2-12-VGB-BKWH.A,    Generation (billion kWh),0.138798
INTL.29-12-VGB-BKWH.A,        Renewables (billion kWh),0.001558
INTL.33-12-VGB-BKWH.A,            Hydroelectricity (billion kWh),0
INTL.34-12-VGB-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.001558
INTL.35-12-VGB-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-VGB-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.000308
INTL.117-12-VGB-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-VGB-BKWH.A,                    Solar (billion kWh),0.000308
INTL.37-12-VGB-BKWH.A,                Wind (billion kWh),0.00125
INTL.38-12-VGB-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-VGB-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Brunei,
INTL.2-12-BRN-BKWH.A,    Generation (billion kWh),4.63714
INTL.29-12-BRN-BKWH.A,        Renewables (billion kWh),0.002
INTL.33-12-BRN-BKWH.A,            Hydroelectricity (billion kWh),0
INTL.34-12-BRN-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.002
INTL.35-12-BRN-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BRN-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.002
INTL.117-12-BRN-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BRN-BKWH.A,                    Solar (billion kWh),0.002
INTL.37-12-BRN-BKWH.A,                Wind (billion kWh),0
INTL.38-12-BRN-BKWH.A,                Biomass and waste (billion kWh),0
INTL.82-12-BRN-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Bulgaria,
INTL.2-12-BGR-BKWH.A,    Generation (billion kWh),40.48217
INTL.29-12-BGR-BKWH.A,        Renewables (billion kWh),7.88517
INTL.33-12-BGR-BKWH.A,            Hydroelectricity (billion kWh),3.34917
INTL.34-12-BGR-BKWH.A,            Non-hydroelectric renewables (billion kWh),4.536
INTL.35-12-BGR-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BGR-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",1.442
INTL.117-12-BGR-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BGR-BKWH.A,                    Solar (billion kWh),1.442
INTL.37-12-BGR-BKWH.A,                Wind (billion kWh),1.317
INTL.38-12-BGR-BKWH.A,                Biomass and waste (billion kWh),1.777
INTL.82-12-BGR-BKWH.A,        Hydroelectric pumped storage (billion kWh),-0.197
,Burkina Faso,
INTL.2-12-BFA-BKWH.A,    Generation (billion kWh),1.72652
INTL.29-12-BFA-BKWH.A,        Renewables (billion kWh),0.215
INTL.33-12-BFA-BKWH.A,            Hydroelectricity (billion kWh),0.11
INTL.34-12-BFA-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.105
INTL.35-12-BFA-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-BFA-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.053
INTL.117-12-BFA-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-BFA-BKWH.A,                    Solar (billion kWh),0.053
INTL.37-12-BFA-BKWH.A,                Wind (billion kWh),0
INTL.38-12-BFA-BKWH.A,                Biomass and waste (billion kWh),0.052
INTL.82-12-BFA-BKWH.A,        Hydroelectric pumped storage (billion kWh),0
,Burma,
INTL.2-12-MMR-BKWH.A,    Generation (billion kWh),24.88138
INTL.29-12-MMR-BKWH.A,        Renewables (billion kWh),12.0109
INTL.33-12-MMR-BKWH.A,            Hydroelectricity (billion kWh),11.9889
INTL.34-12-MMR-BKWH.A,            Non-hydroelectric renewables (billion kWh),0.022
INTL.35-12-MMR-BKWH.A,                Geothermal (billion kWh),0
INTL.36-12-MMR-BKWH.A,"                Solar, tide, wave, fuel cell (billion kWh)",0.019
INTL.117-12-MMR-BKWH.A,                    Tide and wave (billion kWh),0
INTL.116-12-MMR-BKWH.A,                    Solar (billion kWh),0.019
